year,1,2,3,4,5,6,7,8,9,10,11,12
1941,10310,8654,8487,11080,15880,14970,9820,6441,11450,17330,13860,20490
1942,7636,7626,6856,11510,16870,25400,17230,8373,5023,4323,13380,15710
1943,11730,11970,11600,23360,21660,31420,29840,11430,7183,8100,6592,10670
1944,9965,8044,7878,10610,17400,19620,10430,6835,9945,8736,10810,10930
1945,15950,14860,9714,10130,25960,25370,16170,8083,8469,14340,17990,12540
1946,13670,10680,12820,16580,36530,32810,23750,10590,6745,8957,9351,18200
1947,12800,16430,14460,17720,24720,25740,15780,8319,7390,19110,15670,19050
1948,15180,10380,8448,11800,24680,39280,20380,13760,11590,12820,13290,12840
1949,9015,12020,15200,17900,33920,24470,20010,13320,10910,12970,23740,21830
1950,15560,19740,22810,17720,22020,37920,35710,17060,10200,17120,21000,30560
1951,19650,31140,11760,19580,26400,21700,17460,9269,8329,16800,14480,12790
1952,9541,14910,9501,13690,20280,18810,16260,9607,6642,6898,7252,8417
1953,26740,20170,10930,13180,19180,20030,23920,12430,8995,14810,19540,24900
1954,17730,21230,15290,16640,25150,27770,34840,20290,13950,12840,27200,15810
1955,13550,13560,9192,13990,17250,31010,28420,15010,9201,20430,29620,18580
1956,15120,10500,11460,17590,28420,34460,26950,12220,10890,21100,15110,23770
1957,12230,13270,15010,14790,26660,23240,14240,8486,7962,8086,10170,12770
1958,17420,16540,11570,11600,22410,21080,12080,7677,8838,16040,23450,27720
1959,24420,13680,14170,21730,24760,27960,25360,12510,17540,20850,29350,21190
1960,14530,18110,12330,17470,19510,22140,18980,11050,8383,12620,19250,16260
1961,22400,25250,15730,15150,22100,36670,17220,9995,8502,12820,13300,17490
1962,22570,14050,10920,14320,13090,20520,17760,13550,8809,11780,21070,23490
1963,18800,19020,12320,12280,16060,20630,15260,10530,8861,14460,23210,19450
1964,21260,14340,15110,15290,19100,35020,34210,17130,11880,15000,14060,18760
1965,16340,20470,13230,15240,19940,23960,20170,12760,6624,10430,15660,15360
1966,16360,11660,14900,15680,19540,20660,19570,11090,7201,12390,14390,29060
1967,21490,18090,14410,12270,18530,39660,23970,11900,9096,23710,21630,22380
1968,26020,24150,18630,15870,18560,31790,23440,11750,13410,13360,18580,20190
1969,19850,11870,11230,15220,26030,29730,15360,8411,12110,11780,12230,13940
1970,17160,16710,12310,12660,12460,18890,14320,8887,9763,8827,13390,15330
1971,21500,24840,14620,13210,28300,31940,33960,16970,9398,9562,14850,14020
1972,16780,20350,27010,19550,27150,43460,37650,18910,13610,8810,10600,21060
1973,18350,11260,10800,8857,16260,15590,13870,9492,6895,10720,16540,21950
1974,27220,19600,21500,19000,22480,39760,34430,20100,9848,6004,14010,18390
1975,19180,16200,14880,9898,17710,26440,26330,13210,8290,17350,30380,37930
1976,22460,17140,14260,15300,24890,23710,29060,20990,12380,7005,10150,13230
1977,16060,11990,14430,15540,13010,14550,9310,9666,7334,7078,18710,28920
1978,16560,13490,13540,11850,12500,19390,18360,11890,15740,8114,16070,12260
1979,11160,12510,15070,11900,17190,17180,14200,9153,9020,8158,8941,31180
1980,17500,18570,15250,16820,15580,15680,15760,9727,9926,7758,22840,31610
1981,16740,18800,12140,18420,15540,22560,17930,10820,8998,14420,14320,17950
1982,16080,25990,15780,12290,20330,31340,24400,14750,10320,11010,13070,18730
1983,21280,17650,18560,13490,16080,19050,23620,12770,11140,7686,24710,12200
1984,27070,18910,17350,12860,17780,22040,22140,13080,9764,12110,17440,13580
1985,12260,10560,10080,15870,19670,23440,16700,8975,8127,17140,22320,8632
1986,19290,20860,17970,12850,17940,21400,13950,9035,7098,7402,19130,14580
1987,18150,17350,18790,12860,22400,18960,12470,7860,7238,6304,9016,12780
1988,10530,13100,17310,21660,21750,21750,18400,10120,9598,15270,22290,17510
1989,18230,15020,11770,18060,18010,22650,16170,10880,7735,9633,29940,24750
1990,20520,19940,17320,19820,17460,24930,21640,11100,8986,18710,52550,24230
1991,21290,31120,17670,18120,20860,22150,25820,16140,10140,7200,16820,16450
1992,19670,21760,13310,12200,16010,13430,12570,9217,7828,9133,15590,11290
1993,11650,11710,11410,11360,22900,18050,12240,9391,6987,7478,9146,15640
1994,16760,11480,18550,16540,17140,14640,13180,7809,7719,8418,12690,22970
1995,18020,28110,19800,12180,19450,17150,14120,10500,7594,17080,45290,32220
1996,22470,25200,14830,16440,17440,17770,16400,9873,8550,14910,19000,16080
1997,26270,21760,24040,20930,29000,34570,29010,13950,12520,21460,20730,15650
1998,19620,13900,14680,12090,16530,17700,13900,8981,6222,6553,18900,22130
1999,22130,18390,17490,14150,20640,28700,30050,21890,9959,12910,29230,24930
2000,16010,12950,13000,16220,18330,25500,19350,12070,9475,11680,10180,8358
2001,9597,8494,7672,9000,15690,14890,11310,10850,8099,11260,21710,18340
2002,24550,20690,16080,21570,22420,31480,26410,11620,8455,4927,10420,10790
2003,20680,15450,18350,17120,14770,18690,11790,8681,7744,27970,22430,16150
2004,18860,16110,12760,13910,14580,19280,13190,11480,17360,11950,21760,23510
2005,23790,13180,9370,15220,14230,11720,10230,7936,7219,11980,17900,17200
2006,28630,19450,12760,11000,19280,22520,14590,7903,5912,4543,37800,15810
2007,19410,16520,29940,18320,17900,25810,22960,9152,6239,15880,13730,19830
2008,14250,13490,13370,9187,27750,25920,26200,14010,8585,8430,19470,8877
2009,19450,9631,8329,14520,19520,22660,12830,7913,7095,12360,33210,14430
2010,19590,10440,9800,11560,15480,21950,18680,11150,11140,12280,15740,17620
2011,22040,14260,11150,11530,14020,27470,31050,18660,10850,11950,17530,13830
2012,19870,17960,15260,18210,27670,34450,34200,15310,8026,15180,27040,17020
2013,15770,13630,15680,21440,26060,24390,17860,10940,14700,16160,15490,12190
2014,17450,12020,25400,18870,26780,25740,23750,11050,8658,16020,31000,25380
2015,23280,24990,15920,12310,11350,10130,7981,6383,9473,10510,28430,22330
2016,19850,25360,18700,17880,16650,17230,13100,8139,8746,22800,26100,14250
2017,13560,18830,22500,18530,24890,25610,14850,8725,7216,13300,23980,17440
2018,23020,26530,15380,18200,25850,18380,14250,8921,8545,10820,21780,18880
