year,1,2,3,4,5,6,7,8,9,10,11,12
1941,"10,310","8,654","8,487","11,080","15,880","14,970","9,820","6,441","11,450","17,330","13,860","20,490"
1942,"7,636","7,626","6,856","11,510","16,870","25,400","17,230","8,373","5,023","4,323","13,380","15,710"
1943,"11,730","11,970","11,600","23,360","21,660","31,420","29,840","11,430","7,183","8,100","6,592","10,670"
1944,"9,965","8,044","7,878","10,610","17,400","19,620","10,430","6,835","9,945","8,736","10,810","10,930"
1945,"15,950","14,860","9,714","10,130","25,960","25,370","16,170","8,083","8,469","14,340","17,990","12,540"
1946,"13,670","10,680","12,820","16,580","36,530","32,810","23,750","10,590","6,745","8,957","9,351","18,200"
1947,"12,800","16,430","14,460","17,720","24,720","25,740","15,780","8,319","7,390","19,110","15,670","19,050"
1948,"15,180","10,380","8,448","11,800","24,680","39,280","20,380","13,760","11,590","12,820","13,290","12,840"
1949,"9,015","12,020","15,200","17,900","33,920","24,470","20,010","13,320","10,910","12,970","23,740","21,830"
1950,"15,560","19,740","22,810","17,720","22,020","37,920","35,710","17,060","10,200","17,120","21,000","30,560"
1951,"19,650","31,140","11,760","19,580","26,400","21,700","17,460","9,269","8,329","16,800","14,480","12,790"
1952,"9,541","14,910","9,501","13,690","20,280","18,810","16,260","9,607","6,642","6,898","7,252","8,417"
1953,"26,740","20,170","10,930","13,180","19,180","20,030","23,920","12,430","8,995","14,810","19,540","24,900"
1954,"17,730","21,230","15,290","16,640","25,150","27,770","34,840","20,290","13,950","12,840","27,200","15,810"
1955,"13,550","13,560","9,192","13,990","17,250","31,010","28,420","15,010","9,201","20,430","29,620","18,580"
1956,"15,120","10,500","11,460","17,590","28,420","34,460","26,950","12,220","10,890","21,100","15,110","23,770"
1957,"12,230","13,270","15,010","14,790","26,660","23,240","14,240","8,486","7,962","8,086","10,170","12,770"
1958,"17,420","16,540","11,570","11,600","22,410","21,080","12,080","7,677","8,838","16,040","23,450","27,720"
1959,"24,420","13,680","14,170","21,730","24,760","27,960","25,360","12,510","17,540","20,850","29,350","21,190"
1960,"14,530","18,110","12,330","17,470","19,510","22,140","18,980","11,050","8,383","12,620","19,250","16,260"
1961,"22,400","25,250","15,730","15,150","22,100","36,670","17,220","9,995","8,502","12,820","13,300","17,490"
1962,"22,570","14,050","10,920","14,320","13,090","20,520","17,760","13,550","8,809","11,780","21,070","23,490"
1963,"18,800","19,020","12,320","12,280","16,060","20,630","15,260","10,530","8,861","14,460","23,210","19,450"
1964,"21,260","14,340","15,110","15,290","19,100","35,020","34,210","17,130","11,880","15,000","14,060","18,760"
1965,"16,340","20,470","13,230","15,240","19,940","23,960","20,170","12,760","6,624","10,430","15,660","15,360"
1966,"16,360","11,660","14,900","15,680","19,540","20,660","19,570","11,090","7,201","12,390","14,390","29,060"
1967,"21,490","18,090","14,410","12,270","18,530","39,660","23,970","11,900","9,096","23,710","21,630","22,380"
1968,"26,020","24,150","18,630","15,870","18,560","31,790","23,440","11,750","13,410","13,360","18,580","20,190"
1969,"19,850","11,870","11,230","15,220","26,030","29,730","15,360","8,411","12,110","11,780","12,230","13,940"
1970,"17,160","16,710","12,310","12,660","12,460","18,890","14,320","8,887","9,763","8,827","13,390","15,330"
1971,"21,500","24,840","14,620","13,210","28,300","31,940","33,960","16,970","9,398","9,562","14,850","14,020"
1972,"16,780","20,350","27,010","19,550","27,150","43,460","37,650","18,910","13,610","8,810","10,600","21,060"
1973,"18,350","11,260","10,800","8,857","16,260","15,590","13,870","9,492","6,895","10,720","16,540","21,950"
1974,"27,220","19,600","21,500","19,000","22,480","39,760","34,430","20,100","9,848","6,004","14,010","18,390"
1975,"19,180","16,200","14,880","9,898","17,710","26,440","26,330","13,210","8,290","17,350","30,380","37,930"
1976,"22,460","17,140","14,260","15,300","24,890","23,710","29,060","20,990","12,380","7,005","10,150","13,230"
1977,"16,060","11,990","14,430","15,540","13,010","14,550","9,310","9,666","7,334","7,078","18,710","28,920"
1978,"16,560","13,490","13,540","11,850","12,500","19,390","18,360","11,890","15,740","8,114","16,070","12,260"
1979,"11,160","12,510","15,070","11,900","17,190","17,180","14,200","9,153","9,020","8,158","8,941","31,180"
1980,"17,500","18,570","15,250","16,820","15,580","15,680","15,760","9,727","9,926","7,758","22,840","31,610"
1981,"16,740","18,800","12,140","18,420","15,540","22,560","17,930","10,820","8,998","14,420","14,320","17,950"
1982,"16,080","25,990","15,780","12,290","20,330","31,340","24,400","14,750","10,320","11,010","13,070","18,730"
1983,"21,280","17,650","18,560","13,490","16,080","19,050","23,620","12,770","11,140","7,686","24,710","12,200"
1984,"27,070","18,910","17,350","12,860","17,780","22,040","22,140","13,080","9,764","12,110","17,440","13,580"
1985,"12,260","10,560","10,080","15,870","19,670","23,440","16,700","8,975","8,127","17,140","22,320","8,632"
1986,"19,290","20,860","17,970","12,850","17,940","21,400","13,950","9,035","7,098","7,402","19,130","14,580"
1987,"18,150","17,350","18,790","12,860","22,400","18,960","12,470","7,860","7,238","6,304","9,016","12,780"
1988,"10,530","13,100","17,310","21,660","21,750","21,750","18,400","10,120","9,598","15,270","22,290","17,510"
1989,"18,230","15,020","11,770","18,060","18,010","22,650","16,170","10,880","7,735","9,633","29,940","24,750"
1990,"20,520","19,940","17,320","19,820","17,460","24,930","21,640","11,100","8,986","18,710","52,550","24,230"
1991,"21,290","31,120","17,670","18,120","20,860","22,150","25,820","16,140","10,140","7,200","16,820","16,450"
1992,"19,670","21,760","13,310","12,200","16,010","13,430","12,570","9,217","7,828","9,133","15,590","11,290"
1993,"11,650","11,710","11,410","11,360","22,900","18,050","12,240","9,391","6,987","7,478","9,146","15,640"
1994,"16,760","11,480","18,550","16,540","17,140","14,640","13,180","7,809","7,719","8,418","12,690","22,970"
1995,"18,020","28,110","19,800","12,180","19,450","17,150","14,120","10,500","7,594","17,080","45,290","32,220"
1996,"22,470","25,200","14,830","16,440","17,440","17,770","16,400","9,873","8,550","14,910","19,000","16,080"
1997,"26,270","21,760","24,040","20,930","29,000","34,570","29,010","13,950","12,520","21,460","20,730","15,650"
1998,"19,620","13,900","14,680","12,090","16,530","17,700","13,900","8,981","6,222","6,553","18,900","22,130"
1999,"22,130","18,390","17,490","14,150","20,640","28,700","30,050","21,890","9,959","12,910","29,230","24,930"
2000,"16,010","12,950","13,000","16,220","18,330","25,500","19,350","12,070","9,475","11,680","10,180","8,358"
2001,"9,597","8,494","7,672","9,000","15,690","14,890","11,310","10,850","8,099","11,260","21,710","18,340"
2002,"24,550","20,690","16,080","21,570","22,420","31,480","26,410","11,620","8,455","4,927","10,420","10,790"
2003,"20,680","15,450","18,350","17,120","14,770","18,690","11,790","8,681","7,744","27,970","22,430","16,150"
2004,"18,860","16,110","12,760","13,910","14,580","19,280","13,190","11,480","17,360","11,950","21,760","23,510"
2005,"23,790","13,180","9,370","15,220","14,230","11,720","10,230","7,936","7,219","11,980","17,900","17,200"
2006,"28,630","19,450","12,760","11,000","19,280","22,520","14,590","7,903","5,912","4,543","37,800","15,810"
2007,"19,410","16,520","29,940","18,320","17,900","25,810","22,960","9,152","6,239","15,880","13,730","19,830"
2008,"14,250","13,490","13,370","9,187","27,750","25,920","26,200","14,010","8,585","8,430","19,470","8,877"
2009,"19,450","9,631","8,329","14,520","19,520","22,660","12,830","7,913","7,095","12,360","33,210","14,430"
2010,"19,590","10,440","9,800","11,560","15,480","21,950","18,680","11,150","11,140","12,280","15,740","17,620"
